pagkadto , pagkad-toe
giya , gi ya
ruskas , rus kas
gurang , gu rang
paggumbal , pag gum bal
pagbalikad , pag bah li kad
pagwagol , pag wah gol
magturutdo , mag tu rut do
amog , ah mog
kisi , ki si
magutom , mah gu tom
paglara , pag lah ra
makaurulang , mah kah u ru lang
pananglitan , pah nang li tan
paghuwas , pag hu was
diri makahulogan , diri mah kah hu lo gan
paghiyaw , pag hi yaw
katubtoban , kah tubtoban
masubo , mah su bo
pagkupog , pag ku pog
pagkapot , pag kah pot
kalutinan , kah lu tin an
karinyo , kah rin yo
waray sapayan , waray sah pah yan
diri maturunga , diri mah tu ru nga
parte , par te
piay , pi ay
palabtik , pah lab tik
lubong , lubong
pagginhawa tipasakob , pag gin hawa tipa sa kob
pangaro , pah nga ro
mapaubsanon , mah pah ub sah non
surundan nga plano , su run dan nga pla no
igbaw , ig baw
tamsi , tamsi
pagdungang , pag dungang
pangkarawat , pang kah rah wat
likdo , likdo
pagbagnos , pag bag nos
kontra han balaud , kontra han bah lah ud
diri sinsiro , diri sin si ro
pagmatngon , pag mat ngon
kaawa , kah ah wa
mananap , mah nah nap
pagpasabot , pag pah sah bot
pagtugot , pag tu got
paghambog , pag ham bog
kontento , kontento
pagkita-kita , pag kita kita
pag-ipit , pag ih pit
pagtirok , pag ti rok
pagbitay , pag bi tay
pagtutdo , pag tut do
pag-asoy , pag ah soy
pangawil , panga wil
pagkauli , pag kah u li
pagluklok , pag luk lok
pagtipig , pag ti pig
mahidlaw , mah hid law
kaasin , kah ah sin
upaling , u pa ling
kinaiya , ki nah ih ya
kagurang , kah gu rang
makaruruyag , mah kah ru ru yag
kinahanglan , ki nah hang lan
may katapos , may kah tah pos
makalilisang , mah kah li li sang
katunga , kah tu nga
paraliton , pah rah li ton
kagkag , kag kag
katalwasan , kah tal wah san
pagbanabana , pag bah nah bah na
tinuyaw , ti nu yaw
kita mismo , kita mis mo
kamisita , kah mi si ta
samaray , sah mah ray
duplikado , dup li kah do
murayaw , mu rah yaw
kaamyaw , kah am yaw
mag-urupod , mag u ru pod
kilala , ki la la
kareta , kah re ta
siringanon , si ri nga non
sapit , sah pit 
kailob , kah ih lob
mahingdanon , mah hing da non
magbilas , mag bi las
bagakay , bah ga kay
pagkutkot , pag kut kot
plano , plah no
sumpayan , sum pah yan
baga hudem-hudem , baha hudem hudem
pagkagat , pag kah gat
paghukal , pag hu kal
biray , bi ray
gutiay nga misay , gu ti ay nga misay
aragway , arag way
diri mag-angay , diri mag ah ngay
biyahi , bi yah hi
pagsipyat , pag sip yat
labi han , labi han
lamay , lah may
pukot , pukot
aragian , arah gi an
mulay , mu lay
rasa , rah sa
paglamba , pag lam ba
pagpaiha , pag pah ih ha
pagbuhi , pag bu hi
subay han balaud , subay han bah lah ud
waray bayad , waray bayad
diri deretso , diri deretso
libre , libre
urong sa dakong likod , u rong sa dakong likod
paghingyap , pag hing yap
pagtinguha , pag ti ngu ha
pag-ungara , pagh uh ngara
pag-asikaso , pag ah si kah su
pagtimangno , pag ti mangnu
pagbiknit , pag bik nit
pagtibhang , pag tib hang
mabudlay , mah bood lai
sugangan , su gah ngan
pagmayuyo , pag mah yu you
kiwa , ki wa
kiay-kiay , ki ay ki ay
pagkawili , pag kahwili
bugay , bu gay
bugoy , bu goy
pagpasa , pag pah sa
pagrugmok , pag rug mok
irong , e rong
pagbalingkot , pag bah ling kot
latagaw , lah tah gaw
tibway , tib way
pagpasar , pag pah sar
pag-tipik , pag ti pik
paghipausa , pag hi pah u sa
pisaw , pi saw
halag , hah lag
biad , bi ad
bandana , ban dah na
taong , tah ong
resiko , re si ko
pagtapotapo , pag tapo tapo
wada , wah da
alimbubuyog , ah lim bu bu yog
paglugaring , pag lu gah ring
lugpit , lugpit
mahabughat , mah hah bug hat
pagretira , pag re ti ra
pagbalabag , pag bah lah bag
gadlaw , gad law
ligwan , lig wan
pagtig-ob , pag tig ob
hul-os , hul os
garam , gah ram
pag-agay , pag ah gay
pagdistruso , pag dis tru so
pagpas-an , pag pas an
sulog , sul og
rawadaw , rah wa daw
pagperhisyo , pag per his yo
anti-bespera , an ti bes pe ra
mabuligon , mah bu li gon
panumdoman , pah num do man
pag-eskapar , pag es kah par
paglayas , pag lah yas
mahatagon , mah hah tah gon
pagpuga , pag pu ga
pagkalagiw , pag kah lah giw
pagpasaylo , pag pah say lo
gasi , gahsi
kangutngot , kah ngut ngot
siglo , siglo
pagbahit , pag bah hit
pagsuray , pag su ray
sentensya , sen ten sya
pagpalagiw , pag pah lah giw
sora , so ra
pagwaring , pag wa ring
panginabuhi , pah ngi nah bu hi
kasadangan , kah sah dah ngan
pagpanibalos , pag pah ni bah los
pagkabudlay , pag kah bud lay
pagsagib , pag sah gib
pagbingbing , pag bing bing
pagtabas , pag tah bas
pagmulay , pag mu lay
pagsugay , pag su gai
kaidad , kah ih dad
katipunan , kah ti pu nan
unas , u nas
pagyabo , pag yah bo
tumpok , tumpok
pagruyag , pag ru yag
paggibra , pag gib rah
pagkusnit , pag kus nit
paggibwang , pag gib wang
paghabol , pag hah bol
magsando , mag san do
paghagit , pag hah git
paggusi , pag gu si
paggunit , pag gu nit
pag-anga , pag ah nga
tigo , ti go
pato , pah to
mahatungod , mah hah tu ngod
itik , ih tik
pangiyupo , pangi yu po
kosi , ko si
pagsuma , pag su mah
kalaw , kah law
pagtakip , pag tah kip
paghiko , pag hi ko
pagludgod , pag lud god
maawa , mah ah wa
awat , ah wat
mahimuroy , mah hi mu roy
pagmalaigo , pag mah lah igo
pagdasok , pag da sok
pagtibaw , pag ti baw
pag-ino-ino , pag ino ino
pag-unlok , pag un lok
medya , medya
tunga , tu nga
kaarat , kah ah rat
pagpakaurit , pag pah kah u rit
pikas , pi kas
pagduplikar , pag dup li kar
yawyaw , yaw yaw
kami ngahaw , kami ngahaw
pagtundog , pag tun dog
kamurayawan , kah mu rah yah wan
hiripid , hi rip id
karetilya , kah re til yah
sikat , si kat
amakan , ah mah kan
tangnan , tang nan
magtala-iroy , mag tah lah ih roy
magtalaamay , mag tah lah ah mai
kabugawan , kah bu gah wan
pagdagdag , pag dag dag
samwak , sam wak
diri tinuod , diri ti nu od
rinangkitan , ri nang ki tan
pagtukob , pag tu kob
pagrituba , pag ri tu ba
pagpalin , pag pah lin
iwod-iwod , e wood e wood
kasanag , kah sah nag
suga , su ga
baring , bah ring
kaagi , kah ah gi
maudong , mah u dong
paghatos , pag hah tos
yamu-it , yah mu it
pagturos , pag tu ros
maluwas , mah lu was
pag-atras , pag at ras
paspas , pas pas
pag-utang , pag u tang
matibaksi , mah ti bak si
sanag , sah nag
pag-ulwa , pag ul wa
pag-umpok , pag um pok
pagragrag , pag rag rag
masunson , mah sun son
buring-ot , bu ri ngot
pagsabwag , pag sab wag
pagwatak , pag wah tak
pustorawo , pus to rah wo
paghirog , pag hi rog
pagwalas , pag wah las
pagrapo , pag rah po
pagyakyak , pag yak yak
paglipong , pag li pong
paghunta , pag hun ta
marighom , mah rig hom
marisyo , mah ris yo
saputok , sah pu tok
amuma , ah mu ma
surog , su rog
digos , di gos
ranggat , rang gat
pag-aring , pag ah ring
kabilin , kah bi lin
pagtagad , pag tah gad
malapak , mah lah pak
danggab , dang gab
lapakon , lah pah kon
lutakon , lu tah kon
hanangon , hah nah ngon
kaurit , kah u rit
alingugngog , ah li ngug ngog
lupot , lu pot
laon , lah on
makauurit , mah kah u u rit
ungara , u nga ra
katima , kah ti ma
pagbuntol , pag bun tol
gapil , ga pil
pagyudyod , pag yud yod
makinista , mah ki nis tah
abiso , ah bi so
pagpaandar , pag pah an dar
parapaandar , pah rah pah an dar
mando , man do
paghila , pag hi lah
dapig , dah pig
pagtubong , pag tu bong
katapos , kah tah pos
katuraw , kah tu raw
pareho , pah re ho
paghutak , pag hu tak
pahalipay , pah hah li pay
pagtugon , pag tu gon
lahod , lah hod
bantad , ban tad
maldito , mal di to
hayaw , hah yaw
bulok , bu lok
pagsukdo , pag suk do
pagrantok , pag ran tok
pagbanggo , pag bang go
pagbudlay , pag bud lay
paghanap , pag ha nap
semilya , se mil ya
pag-ugdok , pag ug dok
pagbati , pag bah ti
pagkiskis , pag kis kis
pabalon , pah bah lon
pagkagud , pag kah gud
paghanaw , pag ha naw
pagsakripisyo , pag sak ri pisyo
puhunan , pu hu nan
pagbangga , pag bang ga
supo , su po
pagsuway , pag su way
pagretaki , pag re tah ki
tarom , tah rom
pagtum-a , pag tum ah
paglantugi , pag lan tu gi
turopong , tu ro pong
takop , tak op
palwais surab , pal wah is su rab
pagdebati , pag de bah ti
pagpuruko , pag pu ru ko
kalugkog , kah lug kog
pagbista , pag bis tah
liwas , li was
matupong , mah tu pong
pagtangpos , pag tang pos
paghugay , pag hu gay
batakan , bah tah kan
pagliwat-liwat , pag li wat li wat
giuurhii , gi u ur hi ih
pagbinaribaray , pag bi nah ri bah ray
uging , u ging
atatado , ah tah tah do
butlaw , but lahw
paggahos , pag gah hos
kamanggaran , kah mang gah ran
pagpahinungdan , pag pah hi nung dan
pagpatay , pag pah tay
pawa , pah wa
pag-ukpaw , pag uk paw
pagpakita , pag pah kita
paglukso , pag luk so
mahimo , mah hi mo
mahaanod , mah hah ah nod
mapan-os , mah pan os
sukot , su kot
mahugaw , mah hu gaw
pagmalipay , pag mah li pai
makaaramdok , mah kah ah ram dok
mahusay , mah hu say
pagduhig , pag du hig
paghukas , pag hu kas
pag-amuma , pag ah mu ma
pag-usa , pag usa
pagsarang , pag sah rang
pagkita , pag ki ta
paglaba , pag lah ba
pagluwas , pag lu was
pagmarka , pag marka
pagtangdo , pag tang do
pagtikang , pag ti kang
pagdagkot , pag dag kot
pag-alsa , pag al sa
kag-anak , kag ah nak
maaringasa , mah ah ri nga sa
madakmol , mah dak mol
madulom , mah du lom
harani , hah rah ni
pagkarigo , pag kah ri go
mapawa , mah pah wa
paghawig , pag hah wig
pag-uwat , pag u wat
surundon , surun don
manmurusil , man mu ru sil
aswang , as wang
magasa , mah gah sa
manunulay , mah nu nu lai
diri magaramit , diri mah ga rah mit
malusak , mah lu sak
doason , do ah son
dako hin duro , dako hin duro
tigaman , ti ga man
makugion , mah ku gi on
ihalas , ih hah las
lagas , lah gas
hataas , hah tah as
kanan iroy , kanan iroy
niyan , ni yan
pag-urit , pag u rit
pagpasina , pag pa si na
kagaw , kah gaw
kahimo , kah himo
pagtampalas , pag tam pah las
mahangiton , mah hah ngi ton
pagdagmit , pag dag mit
mabinasolon , mah bi nah so lon
karuyag , kah ru yag
mahusay nga gutiay , mah hu say nga gu ti ay
makaguruol , mah kah gu ru ol
naglabay , nag lah bay
paghanabo , pag hah nah bo
buot , bu ot
maaghup , mah ag hup
pasabot , pah sah bot
umurukoy , u mu ru koy
papalakat , pah pah lah kat
tagdumara , tag du mah ra
areglo , ah reg lo
balaud , bah lah ud
diri strikto , diri strikto
pagsaog , pag sah og
pagpaura , pag pah u ra
gugma , gug ma
sanggi , sang gi
partisyon , partis yon
buntol , buntol
nakaplag , nah kap lag
higayon , hi gah yon
pagbungkag , pag bung kag
pag-ilob , pag ih lob
paglagpak , pag lag pak
bundok , bundok
mahadnaw , mah had naw
adulteryo , ah dul teryo
miswa , miswa
tungod , tu ngod
purupareho , pu ru pah reho
umaragi , u mah rah gi
turo , tu ro
papha , pap ha
pagsagdon , pag sag don
ulat , u lat
pilyo , pil yo
giuupayi , gi u u pah yi
gihatataasi , gi hah tah tah ah si
itarakop , ih tah rah kop
munisipyo , mu ni sip yo
pagparong , pag pah rong
pagsarabot , pag sah rah bot
pagpahid , pag pah hid
ganhi , gan hi
pagpuno , pag pu no
paghiram , pag hi ram
pagkagos , pag kah gos
pagrebelde , pag re bel de
hatag , hatag
kaguran , kah gu ran
salin , sah lin
ibas , ih bas
bungbong , bung bong
huron , huron
baration , bah rah ti on
malingaw , mah lingaw
halad , hah lad
antiyohos , an ti yo hos
kwarta , kwarta
pagsabud , pag sa bud
mangarol , mah nga rol
pagkontra , pag kontra
karautan , kah rah u tan
kalugaringon , kah lu gah ri ngon
kalipay , kah li pay
namatyan , nah mah tah yan
pangabuho , pah nga buho
trangka , trangka
kainteresado , kah in te re sah do
paningkamot , pah ning kah mot
sid-ap , sid ap
idlap , idlap
katarantar , kah tah ran tar
pasalida , pah sah li da
pagsukot , pag su kot
basol , bah sol
piyak , pi yak
pagsaro , pag sah ro
pag-aram , pag ah ram
pagsugot , pag su got
pagtamos-tamos , pag tahmus tahmus
paglakat , pag la kat
hiluag nga hangraban , hi lu ag nga hang rah ban
paglupog-lupog , pag lupog lupog
paglupog , pag lu pug
pag-rabot , pag rahbut
pagtimpag , pag tim pag
mauba , mah o bah
rumbo , rumbo
pag-ataman , pag ah tah man
bahal , bah hal
girhang , gir hang
subay , su ba aye
pag-utod , pag o tod
pagpresentar , pag pre sen tar
tulos , tu los
pagpusa , pag pu sa
kudal , ku dal
ekipahi , e ki pah he
haring , haring
pag-piyar , pag pi yar
diri maaram , diri mah aram
hungaw , hu ngaw
pagkabingkil , pag ka bing kil
lugod , lu god
pagsalto , pag sal to
paghagos , pag hah gos
pagruba , pag ru ba
paura , pah u ra
pagbuong , pag bu ong
alasid , ah lah sid
pagpausa , pag pah u sa
sangko , sangko
balisong , bah li song
gangko , gang ko
korta , korta
timba , tim ba
balok , bah lok
paketi , pah ke ti
gakit , gah kit
kaway , kah wahy
turong , tu rong
bulalo , bu lah lo
si-ot , si ot
butok , bu tok
pag-pilak , pag pi lak
pagsweldo , pag sweldo
pag-dumot , pag du mot
kabug-at , kah bug at
pag-baya , pag bah yah
pag-intrimis , pag in tri mis
hiyas , hiyas
pagsanko , pag san ko
panhimuwa , pan hi mu wa
luyat , lu yat
lapinig , lah pi nig
paglumon , pag lu mon
hayag , ha yag
kaurhian , kah ur hi an
pagbuhat , pag bu hat
madawdaw , mah daw daw
paglugipik , pag lu gi pik
kinasingkasing , kina sing ka sing
sayawan , sah ya wan
sigad , si gad
sakati , sah kah ti
makagarahom , mah kah gah ra hom
pagbitbit , pag bit bit
bugwas , bug was
lakatan , lah kah tan
parugmok , pah rug mok
buog , bu og
duongan , du o ngan
pag-eksamen , pag ek sah men
pagkawaray-tapod , pag kah waray tah pod
dadangatan , dah dah nga tan
signos , sig nos
diri maimot , diri mah ih mot
batinguran , bah ti ngu ran
malubog , mah lu bog
buwa , bu wa
kulang , ku lang
lansis , lan sis
duha , du ha
paggagad , pag gah gad
hapdos , hap dos
kuyapan , ku yap nan
katuigan , kah tu ih gan
tama , tama
pagsari , pag sah ri
kastigo , kas ti go
eskapo , es kah po
sunit , su nit
kahasta , kah has ta
pag-tigaman , pag ti gah man
pagtahod , pag tah hod
pagbantad , pag ban tad
maragamit , mah rah gah mit
suhol , su hol
makatadongan , mah kah tah do ngan
mabaska , mah bas ka
pag-balos , pag bah los
pag-usoy , pag u soy
pagsobra hin kusog , pag sob ra hin ku sog
paggulgol , pag gul gol
paggutgot , pag gut got
pag-trabaho , pag tra ba ho
diri mahimo , diri ma himo
pagtangtang , pag tang tang
pag-gunting , pag gun ting
pagsangpit , pag sang pit
paggiya , pag giya
kasi , kah si
kapanon , kah pah non
tugas , tu gas
pagsuntok , pag sun tok
pag-aburido , pag ah bu ri do
paghimarading-pading , pag hi mah rah ding pah ding
maestro , maestro
kalamukat , kah lah mu kat
pagrabya , pag rab ya
paggisi , pag gi si
pag-gibwak , pag gib wak
pagtagik , pag tah gik
pagbiling , pagbiling
sagwil , sagwil
probar , pro bar
pagsaliwan , pag sah li wan
hambog , hambog
pagsaping , pag sah ping
pag-kusnit , pag kus nit
maabayaw , mah ah bah yaw
pagal , pag al
pagkurumog , pag ku ru mog
paggamol , pag gah mol
katigurangang , kah ti gu rah ngang
paghaplos , pag hap los
sagdi , sag di
uwak , u wak
hiunong , hi u nong
pikit , pi kit
pasambingay , pah sam bi ngay
pagbadbad , pag bad bad
wakwak , wak wak
ubos , u bos
tugbang , tug bang
buwirte , bu wir te
pagsapong , pag sah pong
paglikdo , pag lik do
pagnusnos , pag nus nos
atkanan , at kah nan
salingkapaw , sa ling kah paw
panungog , pah nu ngog
tuyo , tu yo
hakang , ha kang
pag-abiso , pag ah bi so
paghalhal , pag hal hal
mahinangpot , mah hi nang pot
pagsunod , pag su nod
pagkalasag , pag kah lah sag
paghitinga , pag hi ti nga
pagbulkas , pag bul kas
pag-sablay , pag sab lay
pagbinwit , pag bin wit
pagpinsar , pag pin sar
pagkatuhay , pag kah tu hay
pagsibat , pag si bat
pagsalikway , pag sah lik way
mangandoy , mah ngan doy
pagdukit , pag du kit
arat , ah rat
buklad , buk lad
gios , gi os
pagkaalo , pag kah ahlo
kaidaran , kah ih dah ran
takos , tah kos
karo , kah ro
pakigdait , pakig da it
surod , su rod
kalibrehan , kah lib re han
pagkunokuno , pag kuno kuno
turab , tu rab
amon kalugaringon , amon kah lu gah ri ngon
kamotingkahoy , kah mo ting kah hoy
pagkopya , pag kop ya
kalinaw , kah li naw
kahipid , kah hip id
pag-kibkib , pag kib kib
kilalado , ki lah lah do
karomata , kah ro mah ta
darawhonon , dah raw ho non
hipid , hip id
pagligot , pag li got
pagrason , pag rah son
mag-ilaw , mag ih law
mamban , mam ban
pagpatinhulog , pag pah tin hu log
dayag , dah yag
batong , ba tong
tinakipan , ti na ki pan
kindang-kindang , kin dang kin dang
pag-ingkib , pag ing kib
patusak , pah tu sak
matalwas , mah tal was
pag-isol , pag ih sol
matibagsik , mah ti bag sik
kapawa , kah pah wa
pagpurak , pag pu rak
paso , pah so
paglakaton , pag lah kah ton
pagbalios , pag bah li os
ura-ura , ura ura
sibbot , sib bot
ukoy , u koy
pagkundog , pag kun dog
pag-agom , pag ah gom
paglapdos , pag lap dos
paglabaw , pag lah baw
pag-ariya , pag ah ri ya
moroso , mo ro so
risyo , ris yo
uwas , u was
talikuran , tah li ku ran
mapaspas , mah pas pas
pagtahas , pag tah has
maabtik , mah ab tik
siga , si ga
pagkingking , pag king king
pag-ulbo , pag ul bo
pag-ambak , pag am bak
unta , unta
mahaupod , mah ha u pod
mabaho , mah bah ho
masukot , mah su kot
malamiri , mah lah mi ri
pag-andak , pag an dak
manlandawan , man lan dah wan
maanyag , mah an yag
pagbuhos , pag bu hos
pagbanyos , pag ban yos
paghubo , pag hu bo
paghi-uliay , pag hi u li ay
pag-urusa , pag u ru sa
paggawas , pag gah was
pagtapo , pag tah po
pagtalwas , pag tal was
pagsamok , pag sah mok
pagimpisar , pag im pi sar
pagsindi , pag sin di
pag-bakyaw , pag bak yaw
anakan , ah nah kan
masaba , mah sah ba
espiso , es pi so
paghampang , pag ham pang
duok , du ok
paglabar , pag lah bar
malamrag , mah lam rag
eridar , e ri dar
pagbula , pag bu la
panurundon , pah nu run don
pagbuyayaw , pag bu yah yaw
paggawi , pag gah wi
parapanganop , pah rah pah ngan nop
a lot , a lot
lupokon , lu po kon
pagtiktik , pag tik tik
magsurulay , mag su ru lay
malupok , mah lu pok
lusakon , lu sah kon
labsag , lab sag
kapungot , kah pungot
kadako , kah dah ko
labag , lah bag
intrasado gud , intrah sah do gud
mabangis , mah bah ngis
idaran , ida ran
daan , da an
kahitaas , kah hi ta as
unina , u nina
makapupungot , mah kah pu pu ngot
pagpalango , pag pah lango
binlud , bin lud
pagmaldisyon , pag mal dis yon
pag-apura , pag a pu ra
mahinulsolon , mah hi nul so lon
kawili , kahwili
masumo , mah sumo
hadto , hadto
pagduldoy , pag dul doy
larang , lah rang
kinasing-kasing , ki nah sing kah sing
paskin , pas kin
taga-pwesto , taga pwesto
pagmaneho , pag mah ne ho
tagmaneho , tag mah ne ho
kamada , kah mah dah
kasugoan , kah su go an
pagdanas , pag dah nas
pag-alayon , pag ah lah yon
mampara , mam pah ra
paghungit , pag hu ngit
natapos , nah tah pos
paghulat hin panahon , pag hulat hin pah nah hon
kataliwan , kah tah li wan
pagpugong , pag pu gong
paglugapak , pag lu gah pak
pag-liwan , pag li wan
karayapan , kah rah yah pan
maupay nga pamati , ma u pay nga pa ma ti
udong , u dong
sangad , sah ngad
paghudag , pag hu dag
mapasado , mah pah sa do
pagtaktak , pag tak tak
paghapyod , pag hap yod
bentilador , ben ti lah dor
paglarang , pag lah rang
pag-palsipikaw , pag pal si pi kaw
pandok , pan dok
sutil , su til
hawod , hah wod
sampaw , sam paw
butahan , bu tah han
poblasyon , pob las yon
pagsugpo , pag sug po
pagkaasya , pag kah asya
pagpabug-at , pag pah bug at
pag-trapo , pag tra po
lalong , lah long
pagpaaras , pag pah ah ras
pag-abat , pag ah bat
pagkudkod , pag kud kod
maatohon , mah ah to hon
saladang , sah lah dang
kasanhi , kah san hi
pundir , pun dir
pamiling , pah mi ling
pundok , pun dok
tayod , tah yod
paghalad , pag ha lad
antipara , an ti pah ra
taya , tah yah
pagsampak , pag sam pahk
umal , u mahl
paglaris , pag lah ris
magirhat , mah gir hat
ginagapilan , ginah gah pi lan
pagpalakpak , pag pah lak pak
mamaratayon , mah mah rah tah yon
kagiyan , kah gi yan
paglimbasog , pag lim bah sog
katadman , katad man
lagonlagon , lagon lagon
maburigo , ma bu ri go
kabir , kabir
panginyupo , pangin yu po
pagtuklin , pag tuk lin
pagpiyak , pag pi yak
pagpakimaluoy , pag pah ki mah lu oy
pagtuman , pag tu man
mantika , man ti ka
sarandag , sah ran dag
pagtikod , pag ti kod
parasurat , pah rah su rat
tahob , ta hob
ganggang , gang ganng
kahisgutan , kah his gu tan
bukong-bukong , bukong bukong
pag-istambay , pag is tam bay
tangkal , tang kal
ulo-ulo , ulo ulo
paggipurupakiana , pag gi pu ru pah ki ah na
ripot , ri pot
paglampos , pag lam pas
tinuod nga mga pulong , ti nu od nga mga pulong
pagkinita , pag ki ni ta
paghigin , pag hi gin
pagtingyay , pag ting yay
lihog , li hog
waray ukoy , waray ukoy
magpareho , mag pa re ho
hubas , hu bas
paghalukhok , pag ha luk hok
pagtukso , pag tuk so
muko-buko , muko buko
suruklan , suruk lan
pag-uruutro , pag u ru utro
pukis , pukis
pag-alakapa , pag ah lah kah pa
pagtungway , pag tung way
pagdurugas , pag du ru gas
pagdehar , pag de har
paglibwat , pag lib wat
primero , pri meh ro
sinabotan , sinah bo tan
wutok , wu tok
panginsayod , pangin sah yod
pag-udoy-udoy , pag udoy udoy
paradaog , pah rah dah og
pag-iwas , pag ih was
waray kapareho , waray kah pah re ho
diri takos , diri tah kos
arayupan , arah yu pan
pagtakgus , pag tak gus
karikohan , kah ri ko han
rahol , rah hol
paghangkop , pag hang kop
bangsaran , bang sah ran
pag-raugdaug , pag rah ug dah ug
tambok , tam bok
pagbanyak , pag ban yak
tagalista , tah gah lista
taklob , tak lob
ligid , ligid
debati , de bah ti
pagwara , pag wah ra
balingkot , bah ling kot
hubya , hubya
alad , ah lad
karaptan , kah rap tan
magbarantay , mag bah ran tay
pakiana , pah ki ah nah
pagpikpik , pag pik pik
tima , ti ma
karkulo , kar ku lo
barasahon , bah rah sah hon
manarambong , mah nah ram bong
paghiling , pag hi ling 
pagbukod , pag bu kod
pag-sunlog , pag sun log
sigidas , si gi das
katurupong , kah tu ru pong
utang , u tang
pag-akomplisar , pag ah kom pli sar
mamara , mah mah ra
paghaklam , pag hak lam
nagudyot , nah gud yot
kapadis , kah pah dis
kaluluthan , kah lu lut han
ilo , ilo
surundan , surun dan
pag-utro , pag ut roh
urhi , ur hi
pagbulig , pag bu lig
pag-una , pag u na
pagbaribad , pag bah ri bad
pagtulos , pag-tu-los
siyahan , si yah han
inano , I nah no
pag-intiende , pag intiende
guliat , gu li at
ulod , u lod
pagtalumpigos , pag tah lum pee gus
pagkada , pag kah da
lugar , lugar
diskurso , dis kur su
kagupongan , kahgu po ngan
pagrabnot , pag rab noot
pagtikba , pag tik ba
mabido , mahbidu
pag-ulyab , pag oolyab
pagmangno , pag mang no
tuba , tu ba
agu-op , a gu op
saegon , sa e gon
pagkuha , pag ku ha
pagbaya , pag bah yah
paghatag , pag ha tag
sungpong , sung pong
bungaw , bu nga aw
bangkilyo , bang kil yo
kasangkapan , kah sang kah pan
sunog , soonog
tinuonan , ti nu o nan
ikinaadlaw , I ki nah ahd law
pagtapod , pag tah pod
pamatasan , pah mah tah sahn
diri hanas , diri hah nas
singaw , si ngaw
bangaw , bah ngaw
biol , bi ol
bagkus , bag kus
bus-og , bus-og
pagpaltos , pag pahl tos
paglabay , pag lah bay
paghubad , pag hu bad
diri papreho , diri pap re ho
balay , bah lay
pagbarag , pag bah rag
katingalaan , kah tingah lah an
balabag , bah lah bag
kakulangan , kah ku lah ngan
sipol , si pol
atabay , atah bay
bawod , bah wod
putos , pu tos
tabaw , tah baw
sirak , si rak
tudong , tu dong
panarhog , pah nahr hog
gwardya , gwar dya
saya , saya
basiyo , basi yo
sighot , sig hot
linghod , ling hod
pag-itsa , pag it sa
pag-upay , pag u pay
pag-impas , pag im pas
bulos , bulos
bug-at , bug at
pagsumat , pag su mat
pag-undang , pag un dang
pagpatawa , pag pah tah wah
kaputlian , kah put li ahn
pagsangko , pag sang ko
pagbinuwa , pag bi nu wa
lapyo , lahp yo
putyokan , put yo kan
mabuhi , mah bu hi
